Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
22-04-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,5.8,68.6,107,204
25-04-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,6.3,69.8,95,212
5/3/2007,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,6.6,75.3,80,194
5/5/2007,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,6.1,61.4,100,217
5/9/2007,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,6.5,47.8,65,184
5/12/2007,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,5.8,48.2,51,125
15-05-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,5.7,46.7,73,166
18-05-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,5.4,48.1,96,215
21-05-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,6.2,52.3,97,200
24-05-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,5,53.8,83,186
27-05-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,6.1,60.9,137,270
6/2/2007,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,5,62.8,84,185
6/5/2007,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,5.9,52.1,84,184
6/8/2007,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,5.5,58.6,103,211
6/11/2007,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,6,59.9,93,227
14-06-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,6,50.2,61,134
17-06-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,5,42.5,51,111
22-06-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,6.7,58.7,28,70
25-06-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,5.8,44.3,38,98
27-06-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,6.3,49.5,38,95
7/2/2007,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,6.9,40.3,60,156
7/4/2007,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,6.1,37.6,23,59
7/9/2007,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,6.3,45.4,70,167
13-07-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,7.9,48.9,101,228
14-07-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,6,45,44,114
15-07-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,7.3,45.5,68,147
17-07-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,5.3,45.6,60,155
20-07-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,5.6,38.5,48,105
22-07-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,5.8,38.9,46,135
24-07-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,7.9,48,124,254
26-07-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,4.6,37.5,81,153
28-07-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,8.6,54,151,304
29-07-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,5.1,38.6,88,242
30-07-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,8.5,55.4,149,292
8/4/2007,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,5.9,45.3,56,111
8/6/2007,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,5.3,46.7,14,86
8/10/2007,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,5.5,53.4,70,172
13-08-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,5,45.5,31,88
18-08-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,4.1,42.3,33,70
21-08-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,5.5,44.5,73,157
23-08-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,5.9,43.8,59,125
26-08-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,5.9,46.4,55,143
29-08-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,5.8,44.3,54,131
9/6/2007,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,5.2,41.5,44,116
9/8/2007,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,6.6,41.3,54,127
9/11/2007,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,5.6,42.6,65,151
14-09-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,5.7,39.3,37,98
16-09-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,6.6,40.7,47,118
21-09-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,5.9,39.8,30,88
24-09-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,4.7,32.3,32,89
26-09-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,5.7,36.5,37,97
10/3/2007,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,6.6,43,55,136
10/5/2007,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,8,50.1,96,215
10/11/2007,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,8.7,49.7,192,381
11/6/2007,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,8.5,56.9,206,402
11/8/2007,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,10.5,58,171,347
14-11-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,9.4,57.3,101,227
16-11-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,8.4,56.7,110,241
18-11-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,10.6,57.8,110,251
24-11-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,10.4,58.5,179,357
26-11-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,10.2,58.1,193,402
28-11-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,10.2,59.2,194,389
12/5/2007,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,10.4,61.8,136,289
12/7/2007,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,11.7,67.9,177,355
12/10/2007,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,10.4,67.8,297,586
15-12-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,11.9,68.1,209,417
18-12-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,11.2,67.7,284,574
20-12-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,10.2,66.7,288,547
23-12-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,9.7,68.4,306,552
27-12-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,9.7,72.4,291,565
30-12-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,9.9,70.1,279,547
1/4/2007,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.4,44.9,114,236
1/6/2007,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.9,47.2,102,177
1/9/2007,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5,47.3,116,190
1/12/2007,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5,61.2,135,280
15-01-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5,47.8,110,181
18-01-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5.2,54.2,243,407
21-01-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.5,52.7,124,230
24-01-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.9,51.4,159,249
29-01-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.9,48.7,176,304
2/3/2007,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.4,51.3,130,213
2/6/2007,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5.2,44.6,142,267
2/9/2007,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.9,46.7,106,179
2/12/2007,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5.4,44.3,59,164
15-02-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5.2,50.7,106,235
18-02-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5.3,51.6,77,176
21-02-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5.4,43.5,90,166
25-02-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5.2,47,63,127
3/1/2007,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.1,31.9,27,53
3/7/2007,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.3,39.2,137,269
3/10/2007,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.7,36.8,83,148
13-03-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.5,42.1,69,139
16-03-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.5,42.1,175,288
19-03-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.3,39.7,87,149
22-03-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.4,38.2,79,134
25-03-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.4,33.6,119,215
27-03-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.4,33.9,102,183
4/5/2007,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.6,43.2,78,136
4/7/2007,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.8,42.4,73,125
4/10/2007,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.8,40.3,46,81
13-04-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.8,38.2,44,79
16-04-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.8,36.3,36,62
19-04-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.8,39.2,53,95
22-04-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.8,39,73,135
25-04-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5,45.6,57,101
5/3/2007,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5.1,44.6,58,133
5/5/2007,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.7,47.3,56,127
5/9/2007,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5.1,41.3,44,112
5/12/2007,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.8,38.8,40,94
15-05-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.4,37.9,53,133
18-05-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.9,42.1,45,100
21-05-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,6.2,40.3,62,125
24-05-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.5,33.5,69,143
27-05-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5.2,55.5,68,156
6/2/2007,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.6,46.5,69,165
6/5/2007,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.6,40.9,42,112
6/8/2007,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.4,43.8,55,126
6/11/2007,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.8,42.1,56,133
14-06-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5,38.1,38,85
17-06-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.4,38.5,25,71
22-06-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5.4,45.9,18,47
25-06-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5,33.6,23,66
27-06-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5.1,37.4,24,57
7/2/2007,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5.2,34.4,58,127
7/4/2007,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5.1,32.4,40,99
7/9/2007,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.6,36.2,60,131
14-07-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.2,41.3,26,63
17-07-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.6,35.3,33,85
20-07-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.2,30.9,30,47
22-07-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.4,32,30,78
26-07-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.3,31.4,26,58
29-07-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.6,29.7,29,93
8/4/2007,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5.3,34.8,30,66
8/6/2007,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5.4,36.5,11,52
8/10/2007,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5.6,39.9,52,126
13-08-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.5,38.4,29,64
18-08-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.2,36.3,31,62
21-08-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.6,37.8,43,96
23-08-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5.3,37.8,27,64
26-08-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5.3,39.1,34,87
29-08-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5,38.1,32,89
9/6/2007,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.6,40.6,24,79
9/8/2007,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5,40.9,31,84
9/11/2007,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5.1,40.4,51,130
14-09-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5.3,38.5,27,81
16-09-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.9,38.4,36,99
21-09-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5,37.5,22,72
24-09-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.4,30.6,22,66
26-09-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.7,36.2,26,74
10/3/2007,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5.3,39.8,43,109
10/5/2007,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5.7,43.5,103,197
10/11/2007,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5,44.6,142,265
13-10-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5,42.6,69,160
15-10-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,4.6,40.1,43,102
17-10-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5,42.4,35,86
24-10-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5,42.4,90,179
26-10-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5.5,46.4,65,150
28-10-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5.3,45.5,87,187
30-10-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5.6,47.9,58,136
11/6/2007,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5.6,48.4,160,317
11/8/2007,West Bengal,Durgapur (WB),PCBL Club,Residential and others,6.9,49.2,82,162
14-11-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,6.2,50.3,64,134
16-11-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5.7,50.6,41,105
18-11-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5.5,49.9,45,106
24-11-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5.5,51.5,78,158
26-11-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,6.1,51.5,57,139
28-11-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5.7,53,95,199
12/5/2007,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5.4,56.8,108,245
12/7/2007,West Bengal,Durgapur (WB),PCBL Club,Residential and others,6.1,58.9,82,177
12/10/2007,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5.6,57.9,158,320
15-12-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,6.3,60.2,116,239
18-12-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5.7,58.5,134,272
20-12-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5.5,58.1,174,339
23-12-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5.8,58.7,197,371
27-12-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,5.9,59.6,172,341
30-12-07,West Bengal,Durgapur (WB),PCBL Club,Residential and others,6.3,58.3,142,299
1/3/2007,West Bengal,Haldia,Super Market,Industrial Areas,11.2,50.1,109,263
1/6/2007,West Bengal,Haldia,Super Market,Industrial Areas,9.6,52.1,172,290
1/9/2007,West Bengal,Haldia,Super Market,Industrial Areas,10.1,53.4,156,260
1/12/2007,West Bengal,Haldia,Super Market,Industrial Areas,10.1,45.1,130,231
15-01-07,West Bengal,Haldia,Super Market,Industrial Areas,12,42.9,162,228
18-01-07,West Bengal,Haldia,Super Market,Industrial Areas,12.9,48,186,291
21-01-07,West Bengal,Haldia,Super Market,Industrial Areas,10.9,53.4,105,234
25-01-07,West Bengal,Haldia,Super Market,Industrial Areas,12.4,59.7,160,276
29-01-07,West Bengal,Haldia,Super Market,Industrial Areas,11.1,62.6,101,248
2/3/2007,West Bengal,Haldia,Super Market,Industrial Areas,11.8,53.9,54,176
2/6/2007,West Bengal,Haldia,Super Market,Industrial Areas,9.6,47.1,43,101
2/10/2007,West Bengal,Haldia,Super Market,Industrial Areas,9.6,51.9,91,147
13-02-07,West Bengal,Haldia,Super Market,Industrial Areas,10,50,24,76
16-02-07,West Bengal,Haldia,Super Market,Industrial Areas,8.6,39.4,54,125
19-02-07,West Bengal,Haldia,Super Market,Industrial Areas,10.5,65.4,94,148
22-02-07,West Bengal,Haldia,Super Market,Industrial Areas,13.1,44,93,203
25-02-07,West Bengal,Haldia,Super Market,Industrial Areas,10.8,43,128,247
28-02-07,West Bengal,Haldia,Super Market,Industrial Areas,11,40.5,67,143
3/5/2007,West Bengal,Haldia,Super Market,Industrial Areas,12,45,75,155
3/8/2007,West Bengal,Haldia,Super Market,Industrial Areas,12.3,45.3,59,146
3/11/2007,West Bengal,Haldia,Super Market,Industrial Areas,10.3,39.8,51,131
14-03-07,West Bengal,Haldia,Super Market,Industrial Areas,10.5,41.1,42,113
19-03-07,West Bengal,Haldia,Super Market,Industrial Areas,10.3,46.6,58,143
23-03-07,West Bengal,Haldia,Super Market,Industrial Areas,9.1,44.9,44,118
27-03-07,West Bengal,Haldia,Super Market,Industrial Areas,8.8,44.2,66,121
31-03-07,West Bengal,Haldia,Super Market,Industrial Areas,8.6,53.8,51,238
4/4/2007,West Bengal,Haldia,Super Market,Industrial Areas,8.2,37.3,33,78
4/7/2007,West Bengal,Haldia,Super Market,Industrial Areas,9.1,43.6,39,159
4/10/2007,West Bengal,Haldia,Super Market,Industrial Areas,10.7,41.4,32,95
13-04-07,West Bengal,Haldia,Super Market,Industrial Areas,7.8,41.9,26,93
16-04-07,West Bengal,Haldia,Super Market,Industrial Areas,8.1,40.4,23,73
19-04-07,West Bengal,Haldia,Super Market,Industrial Areas,6.8,26.6,24,78
22-04-07,West Bengal,Haldia,Super Market,Industrial Areas,8.2,34.4,29,57
27-04-07,West Bengal,Haldia,Super Market,Industrial Areas,5.9,38.8,32,104
5/2/2007,West Bengal,Haldia,Super Market,Industrial Areas,8.8,24.3,48,89
5/5/2007,West Bengal,Haldia,Super Market,Industrial Areas,8,40.3,30,75
5/8/2007,West Bengal,Haldia,Super Market,Industrial Areas,7.6,32,20,67
5/11/2007,West Bengal,Haldia,Super Market,Industrial Areas,7.1,34.8,11,49
14-05-07,West Bengal,Haldia,Super Market,Industrial Areas,8,43.1,24,73
17-05-07,West Bengal,Haldia,Super Market,Industrial Areas,5.9,34.8,26,63
20-05-07,West Bengal,Haldia,Super Market,Industrial Areas,7.3,33.6,19,68
23-05-07,West Bengal,Haldia,Super Market,Industrial Areas,7.3,37.7,28,66
28-05-07,West Bengal,Haldia,Super Market,Industrial Areas,7.8,42.4,22,64
6/2/2007,West Bengal,Haldia,Super Market,Industrial Areas,5.7,37.7,24,51
6/5/2007,West Bengal,Haldia,Super Market,Industrial Areas,9.2,40,33,61
6/8/2007,West Bengal,Haldia,Super Market,Industrial Areas,7.6,33.3,21,54
6/11/2007,West Bengal,Haldia,Super Market,Industrial Areas,7.8,35.1,18,59
14-06-07,West Bengal,Haldia,Super Market,Industrial Areas,7.8,38.2,30,99
17-06-07,West Bengal,Haldia,Super Market,Industrial Areas,7.3,34.8,15,29
20-06-07,West Bengal,Haldia,Super Market,Industrial Areas,8.7,41.7,30,75
25-06-07,West Bengal,Haldia,Super Market,Industrial Areas,8.3,29.2,25,85
29-06-07,West Bengal,Haldia,Super Market,Industrial Areas,5,29,18,56
7/4/2007,West Bengal,Haldia,Super Market,Industrial Areas,4.6,26.8,38,77
7/7/2007,West Bengal,Haldia,Super Market,Industrial Areas,7.2,36.9,32,81
7/10/2007,West Bengal,Haldia,Super Market,Industrial Areas,9,40.1,20,44
14-07-07,West Bengal,Haldia,Super Market,Industrial Areas,8.4,36.8,52,141
17-07-07,West Bengal,Haldia,Super Market,Industrial Areas,7.2,31.8,28,60
20-07-07,West Bengal,Haldia,Super Market,Industrial Areas,5.3,31.5,28,66
23-07-07,West Bengal,Haldia,Super Market,Industrial Areas,8.1,38.2,15,56
26-07-07,West Bengal,Haldia,Super Market,Industrial Areas,9.2,40.6,27,87
29-07-07,West Bengal,Haldia,Super Market,Industrial Areas,8.9,37.7,25,49
8/2/2007,West Bengal,Haldia,Super Market,Industrial Areas,8.7,36.4,15,43
8/7/2007,West Bengal,Haldia,Super Market,Industrial Areas,8.5,32,19,59
8/11/2007,West Bengal,Haldia,Super Market,Industrial Areas,9,44,31,77
14-08-07,West Bengal,Haldia,Super Market,Industrial Areas,6.8,33.7,32,67
17-08-07,West Bengal,Haldia,Super Market,Industrial Areas,6.4,35,31,61
20-08-07,West Bengal,Haldia,Super Market,Industrial Areas,7.1,33.7,31,61
23-08-07,West Bengal,Haldia,Super Market,Industrial Areas,8,34,19,50
26-08-07,West Bengal,Haldia,Super Market,Industrial Areas,4.9,31.5,15,29
29-08-07,West Bengal,Haldia,Super Market,Industrial Areas,8.7,39.2,16,43
9/4/2007,West Bengal,Haldia,Super Market,Industrial Areas,8.8,41.7,22,70
9/7/2007,West Bengal,Haldia,Super Market,Industrial Areas,8.5,35.9,21,88
9/10/2007,West Bengal,Haldia,Super Market,Industrial Areas,10.2,37.5,21,64
13-09-07,West Bengal,Haldia,Super Market,Industrial Areas,8.6,48.7,47,94
16-09-07,West Bengal,Haldia,Super Market,Industrial Areas,8.3,33.4,17,55
19-09-07,West Bengal,Haldia,Super Market,Industrial Areas,9.5,38.3,15,44
24-09-07,West Bengal,Haldia,Super Market,Industrial Areas,5.2,33.1,19,41
29-09-07,West Bengal,Haldia,Super Market,Industrial Areas,10.3,46.5,25,53
10/2/2007,West Bengal,Haldia,Super Market,Industrial Areas,7,38,15,52
10/5/2007,West Bengal,Haldia,Super Market,Industrial Areas,9.5,37.7,21,64
10/8/2007,West Bengal,Haldia,Super Market,Industrial Areas,7.7,38.5,41,119
10/11/2007,West Bengal,Haldia,Super Market,Industrial Areas,8.1,40.3,58,112
14-10-07,West Bengal,Haldia,Super Market,Industrial Areas,8,44.7,22,72
17-10-07,West Bengal,Haldia,Super Market,Industrial Areas,8.4,32.5,26,91
22-10-07,West Bengal,Haldia,Super Market,Industrial Areas,9.2,42.8,77,136
27-10-07,West Bengal,Haldia,Super Market,Industrial Areas,7.3,44.7,73,164
30-10-07,West Bengal,Haldia,Super Market,Industrial Areas,8.4,45.9,46,92
11/2/2007,West Bengal,Haldia,Super Market,Industrial Areas,7.7,31.2,37,87
11/5/2007,West Bengal,Haldia,Super Market,Industrial Areas,7.2,45.3,54,95
11/8/2007,West Bengal,Haldia,Super Market,Industrial Areas,7.2,44,74,144
11/11/2007,West Bengal,Haldia,Super Market,Industrial Areas,7.6,48,67,145
14-11-07,West Bengal,Haldia,Super Market,Industrial Areas,10.2,51.5,65,120
19-11-07,West Bengal,Haldia,Super Market,Industrial Areas,8.1,47.2,50,85
25-11-07,West Bengal,Haldia,Super Market,Industrial Areas,8.4,43.6,72,121
27-11-07,West Bengal,Haldia,Super Market,Industrial Areas,8.1,39.8,101,155
30-11-07,West Bengal,Haldia,Super Market,Industrial Areas,10.1,54.3,125,176
12/3/2007,West Bengal,Haldia,Super Market,Industrial Areas,9.5,52.6,166,267
12/8/2007,West Bengal,Haldia,Super Market,Industrial Areas,9,45.6,134,210
12/11/2007,West Bengal,Haldia,Super Market,Industrial Areas,9.2,48.1,137,208
14-12-07,West Bengal,Haldia,Super Market,Industrial Areas,8.4,51.4,170,240
17-12-07,West Bengal,Haldia,Super Market,Industrial Areas,8.7,53.2,129,228
20-12-07,West Bengal,Haldia,Super Market,Industrial Areas,8.8,48.6,171,231
23-12-07,West Bengal,Haldia,Super Market,Industrial Areas,7.4,41.1,194,278
26-12-07,West Bengal,Haldia,Super Market,Industrial Areas,7.3,41.2,213,300
31-12-07,West Bengal,Haldia,Super Market,Industrial Areas,6.4,35.9,226,329
1/3/2007,West Bengal,Haldia,WBIIDC,Industrial Areas,11.2,50.1,109,263
1/6/2007,West Bengal,Haldia,WBIIDC,Industrial Areas,9.6,52.1,172,290
1/9/2007,West Bengal,Haldia,WBIIDC,Industrial Areas,10.1,53.4,156,260
1/12/2007,West Bengal,Haldia,WBIIDC,Industrial Areas,10.1,45.1,130,231
15-01-07,West Bengal,Haldia,WBIIDC,Industrial Areas,12,42.9,162,228
18-01-07,West Bengal,Haldia,WBIIDC,Industrial Areas,12.9,48,186,291
21-01-07,West Bengal,Haldia,WBIIDC,Industrial Areas,10.9,53.4,105,234
25-01-07,West Bengal,Haldia,WBIIDC,Industrial Areas,12.4,59.7,160,276
29-01-07,West Bengal,Haldia,WBIIDC,Industrial Areas,11.1,62.6,101,248
2/3/2007,West Bengal,Haldia,WBIIDC,Industrial Areas,11.9,57.3,71,191
2/6/2007,West Bengal,Haldia,WBIIDC,Industrial Areas,10.2,56.6,40,80
2/10/2007,West Bengal,Haldia,WBIIDC,Industrial Areas,12.1,55.4,106,184
13-02-07,West Bengal,Haldia,WBIIDC,Industrial Areas,10.4,55.2,39,98
16-02-07,West Bengal,Haldia,WBIIDC,Industrial Areas,8.8,41.5,63,157
19-02-07,West Bengal,Haldia,WBIIDC,Industrial Areas,12.9,64.4,110,289
22-02-07,West Bengal,Haldia,WBIIDC,Industrial Areas,14.5,40.8,104,201
25-02-07,West Bengal,Haldia,WBIIDC,Industrial Areas,11.7,42.1,78,157
28-02-07,West Bengal,Haldia,WBIIDC,Industrial Areas,10.6,41.7,50,93
3/5/2007,West Bengal,Haldia,WBIIDC,Industrial Areas,11.9,45.3,74,172
3/8/2007,West Bengal,Haldia,WBIIDC,Industrial Areas,12.1,47.9,62,144
3/11/2007,West Bengal,Haldia,WBIIDC,Industrial Areas,11.3,40.8,49,115
14-03-07,West Bengal,Haldia,WBIIDC,Industrial Areas,12.1,46.3,59,157
19-03-07,West Bengal,Haldia,WBIIDC,Industrial Areas,9,50.3,58,132
23-03-07,West Bengal,Haldia,WBIIDC,Industrial Areas,9.4,41.8,42,147
27-03-07,West Bengal,Haldia,WBIIDC,Industrial Areas,9.4,41.5,73,144
31-03-07,West Bengal,Haldia,WBIIDC,Industrial Areas,9.7,52.3,50,176
