Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
26-08-07,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.9,44.9,77,163
29-08-07,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.6,43.6,45,109
9/6/2007,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.1,41.3,46,117
9/8/2007,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.1,40.9,42,113
9/11/2007,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.3,41.9,84,190
14-09-07,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.9,40.2,38,99
16-09-07,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.6,40.4,56,134
21-09-07,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.8,40.2,43,107
24-09-07,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.4,32.8,31,81
26-09-07,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.9,37.4,32,87
10/3/2007,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.6,41.3,60,142
10/5/2007,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7.9,48.4,124,244
10/11/2007,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7.8,48.4,163,320
13-10-07,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7.9,47.8,135,257
15-10-07,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7.2,48.6,67,145
17-10-07,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7.8,44.4,61,138
24-10-07,West Bengal,Asansol,Asansol M.C.,Industrial Areas,8.5,48.1,118,233
26-10-07,West Bengal,Asansol,Asansol M.C.,Industrial Areas,9.3,53.1,124,263
28-10-07,West Bengal,Asansol,Asansol M.C.,Industrial Areas,9.5,53.8,135,287
30-10-07,West Bengal,Asansol,Asansol M.C.,Industrial Areas,9.6,55.8,140,287
11/6/2007,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7.9,56.6,213,411
11/8/2007,West Bengal,Asansol,Asansol M.C.,Industrial Areas,9.5,58.6,175,351
14-11-07,West Bengal,Asansol,Asansol M.C.,Industrial Areas,9.4,58,101,215
16-11-07,West Bengal,Asansol,Asansol M.C.,Industrial Areas,9.5,57.4,113,246
18-11-07,West Bengal,Asansol,Asansol M.C.,Industrial Areas,9.9,58,144,300
24-11-07,West Bengal,Asansol,Asansol M.C.,Industrial Areas,10.6,56.5,152,319
26-11-07,West Bengal,Asansol,Asansol M.C.,Industrial Areas,10.6,58.3,202,418
28-11-07,West Bengal,Asansol,Asansol M.C.,Industrial Areas,10.5,59.4,173,374
12/5/2007,West Bengal,Asansol,Asansol M.C.,Industrial Areas,11.3,63.3,147,297
12/7/2007,West Bengal,Asansol,Asansol M.C.,Industrial Areas,11.6,66.7,168,346
12/10/2007,West Bengal,Asansol,Asansol M.C.,Industrial Areas,10.6,66.9,315,595
15-12-07,West Bengal,Asansol,Asansol M.C.,Industrial Areas,11.6,70.1,205,434
18-12-07,West Bengal,Asansol,Asansol M.C.,Industrial Areas,10.8,68.7,230,476
20-12-07,West Bengal,Asansol,Asansol M.C.,Industrial Areas,9.5,66.5,282,564
23-12-07,West Bengal,Asansol,Asansol M.C.,Industrial Areas,10.2,68.2,264,560
27-12-07,West Bengal,Asansol,Asansol M.C.,Industrial Areas,9.4,71.1,258,532
30-12-07,West Bengal,Asansol,Asansol M.C.,Industrial Areas,9.1,68.5,275,576
9/3/2007,West Bengal,Baruipur,Port Cannings,Residential and others,NA,NA,6,NA
9/5/2007,West Bengal,Baruipur,Port Cannings,Residential and others,NA,NA,11,NA
9/6/2007,West Bengal,Baruipur,Port Cannings,Residential and others,NA,NA,6,NA
9/10/2007,West Bengal,Baruipur,Port Cannings,Residential and others,NA,NA,22,NA
9/12/2007,West Bengal,Baruipur,Port Cannings,Residential and others,NA,NA,38,NA
13-09-07,West Bengal,Baruipur,Port Cannings,Residential and others,NA,NA,31,NA
19-09-07,West Bengal,Baruipur,Port Cannings,Residential and others,NA,NA,22,NA
20-09-07,West Bengal,Baruipur,Port Cannings,Residential and others,NA,NA,15,NA
24-09-07,West Bengal,Baruipur,Port Cannings,Residential and others,NA,NA,8,NA
26-09-07,West Bengal,Baruipur,Port Cannings,Residential and others,NA,NA,19,NA
27-09-07,West Bengal,Baruipur,Port Cannings,Residential and others,NA,NA,13,NA
10/1/2007,West Bengal,Baruipur,Port Cannings,Residential and others,NA,NA,25,NA
10/3/2007,West Bengal,Baruipur,Port Cannings,Residential and others,NA,NA,19,NA
10/5/2007,West Bengal,Baruipur,Port Cannings,Residential and others,NA,NA,30,NA
10/8/2007,West Bengal,Baruipur,Port Cannings,Residential and others,NA,NA,47,NA
10/10/2007,West Bengal,Baruipur,Port Cannings,Residential and others,NA,NA,63,NA
10/12/2007,West Bengal,Baruipur,Port Cannings,Residential and others,NA,NA,109,NA
17-10-07,West Bengal,Baruipur,Port Cannings,Residential and others,NA,NA,37,NA
24-10-07,West Bengal,Baruipur,Port Cannings,Residential and others,NA,NA,107,NA
25-10-07,West Bengal,Baruipur,Port Cannings,Residential and others,NA,NA,114,NA
29-10-07,West Bengal,Baruipur,Port Cannings,Residential and others,NA,NA,79,NA
30-10-07,West Bengal,Baruipur,Port Cannings,Residential and others,NA,NA,38,NA
11/1/2007,West Bengal,Baruipur,Port Cannings,Residential and others,NA,NA,55,NA
11/5/2007,West Bengal,Baruipur,Port Cannings,Residential and others,NA,NA,59,NA
11/8/2007,West Bengal,Baruipur,Port Cannings,Residential and others,NA,NA,61,NA
11/9/2007,West Bengal,Baruipur,Port Cannings,Residential and others,NA,NA,107,NA
11/10/2007,West Bengal,Baruipur,Port Cannings,Residential and others,NA,NA,89,NA
19-11-07,West Bengal,Baruipur,Port Cannings,Residential and others,NA,NA,115,NA
21-11-07,West Bengal,Baruipur,Port Cannings,Residential and others,NA,NA,121,NA
22-11-07,West Bengal,Baruipur,Port Cannings,Residential and others,NA,NA,143,NA
26-11-07,West Bengal,Baruipur,Port Cannings,Residential and others,NA,NA,130,NA
28-11-07,West Bengal,Baruipur,Port Cannings,Residential and others,NA,NA,133,NA
30-11-07,West Bengal,Baruipur,Port Cannings,Residential and others,NA,NA,150,NA
12/3/2007,West Bengal,Baruipur,Port Cannings,Residential and others,NA,NA,168,NA
12/5/2007,West Bengal,Baruipur,Port Cannings,Residential and others,NA,NA,150,NA
12/7/2007,West Bengal,Baruipur,Port Cannings,Residential and others,NA,NA,116,NA
12/10/2007,West Bengal,Baruipur,Port Cannings,Residential and others,NA,NA,186,NA
12/12/2007,West Bengal,Baruipur,Port Cannings,Residential and others,NA,NA,172,NA
13-12-07,West Bengal,Baruipur,Port Cannings,Residential and others,NA,NA,150,NA
17-12-07,West Bengal,Baruipur,Port Cannings,Residential and others,NA,NA,143,NA
19-12-07,West Bengal,Baruipur,Port Cannings,Residential and others,NA,NA,196,NA
20-12-07,West Bengal,Baruipur,Port Cannings,Residential and others,NA,NA,211,NA
26-12-07,West Bengal,Baruipur,Port Cannings,Residential and others,NA,NA,277,NA
27-12-07,West Bengal,Baruipur,Port Cannings,Residential and others,NA,NA,255,NA
31-12-07,West Bengal,Baruipur,Port Cannings,Residential and others,NA,NA,267,NA
1/4/2007,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,14,79.2,266,755
1/6/2007,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,16.1,99.6,277,594
1/9/2007,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,23.5,93.7,295,701
1/12/2007,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,16.4,94.6,358,767
15-01-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,11.9,95.1,350,698
18-01-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,8.4,77.1,468,965
21-01-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,11.1,94.9,333,690
24-01-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,12,99.5,335,668
29-01-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,14.4,105,431,946
2/3/2007,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,10,88.6,247,560
2/6/2007,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,11.3,87.4,230,526
2/9/2007,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,11.5,82.7,208,380
2/12/2007,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,14.7,86,94,211
